Document ID,Document,Sentiment label,Frequency
1,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt,negative,221
1,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt,neutral,869
1,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt,positive,154
2,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(USA) Virgin River--Season 4 Episode 9.txt,negative,171
2,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(USA) Virgin River--Season 4 Episode 9.txt,neutral,620
2,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(USA) Virgin River--Season 4 Episode 9.txt,positive,144
3,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(UAE) Alchemy of Souls--Episode 14.txt,negative,221
3,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(UAE) Alchemy of Souls--Episode 14.txt,neutral,869
3,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(UAE) Alchemy of Souls--Episode 14.txt,positive,154
4,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Crash landing on You--Episode 13 Transcript.txt,negative,217
4,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Crash landing on You--Episode 13 Transcript.txt,neutral,802
4,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Crash landing on You--Episode 13 Transcript.txt,positive,192
5,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(UAE) Bridgerton--Season 2 Episode 5.txt,negative,194
5,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(UAE) Bridgerton--Season 2 Episode 5.txt,neutral,749
5,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(UAE) Bridgerton--Season 2 Episode 5.txt,positive,189
6,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)The King's Affection--Episode 7.txt,negative,137
6,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)The King's Affection--Episode 7.txt,neutral,428
6,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)The King's Affection--Episode 7.txt,positive,86
7,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(USA) Bridgerton--Season 2 Episode 5.txt,negative,194
7,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(USA) Bridgerton--Season 2 Episode 5.txt,neutral,749
7,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(USA) Bridgerton--Season 2 Episode 5.txt,positive,189
8,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(USA) You Season 2 Episode 7.txt,negative,250
8,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(USA) You Season 2 Episode 7.txt,neutral,598
8,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(USA) You Season 2 Episode 7.txt,positive,157
9,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(UAE) Hometown Cha-Cha-Cha Season 1 Episode 10.txt,negative,283
9,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(UAE) Hometown Cha-Cha-Cha Season 1 Episode 10.txt,neutral,975
9,/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(UAE) Hometown Cha-Cha-Cha Season 1 Episode 10.txt,positive,222
