Sentiment score,Sentiment label,Sentence ID,Sentence,Document ID,Document
0.8902341723442078,neutral,1,﻿I heard you have been going fishing,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8784475922584534,neutral,2,with Uk these days.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.7009832859039307,neutral,3,That is true.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.9424335956573486,negative,4,It is so boring to fish alone.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.806493878364563,neutral,5,You once said that,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.7868647575378418,negative,6,Uk shares the same fate,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8635043501853943,neutral,7,as Master Seo Gyeong.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.83121657371521,neutral,8,Is that why you are encouraging,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8644990921020508,neutral,9,and guiding him?,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.5221325755119324,negative,10,I am not the one guiding him.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8118933439254761,neutral,11,Then is there someone else?,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8927493691444397,neutral,12,Who is it?,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8914955854415894,neutral,13,Do you know who that person is?,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.5174480676651001,neutral,14,No one is teaching Uk,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8938177227973938,neutral,15,how to do spells right now.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.6623783707618713,neutral,16,I can be sure of it.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.9117203950881958,neutral,17,It was confirmed by his maid,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.7201589941978455,positive,18,who is always by his side.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.869631290435791,neutral,19,Are you saying he progressed,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8110023140907288,neutral,20,that much single-handedly?,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.9173346757888794,neutral,21,He may have become a mage of Jeongjingak,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.9678507447242736,positive,22,thanks to his schemes and good luck.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8802816867828369,negative,23,But he has no skills.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.7997652292251587,neutral,24,I am sure you have heard,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8761568069458008,neutral,25,of our ongoing bet.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.7017110586166382,negative,26,He has yet to win once.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.5285964608192444,neutral,27,You are right.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.6714038252830505,neutral,28,"If he had a master, his master would have",1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.5083051919937134,neutral,29,prevented him from being humiliated.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.7784284949302673,neutral,30,Reading Words of the Heart,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.6526803970336914,neutral,31,had won him respect.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8728818297386169,negative,32,But our bet has humiliated him.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.6404038071632385,positive,33,"Seeing how he has not given up,",1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.5153007507324219,neutral,34,that object,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.7120672464370728,positive,35,must mean a lot to him.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8609627485275269,neutral,36,Are you all right?,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8974577784538269,neutral,37,Can you see?,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.5811464786529541,neutral,38,Yes.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.9077095985412598,neutral,39,"And you, Young Master?",1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.6609290838241577,negative,40,Did you get hurt anywhere?,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.5285964608192444,neutral,41,You are right.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.6622533798217773,neutral,42,I did not know,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.745606005191803,positive,43,how important this was to him.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.5079832673072815,neutral,44,Once,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.7786896824836731,neutral,45,"Uk returns,",1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.6790328621864319,neutral,46,Beom would want to have,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8787992596626282,neutral,47,their duel right away.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.8989589810371399,neutral,48,But he is busy fishing right now?,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.5981493592262268,neutral,49,And Mu-deok is letting him do that?,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
0.4781970977783203,neutral,50,Gosh.,1,"=hyperlink(""/Users/macarahmorgan/Downloads/ENG370/Netflix/transcripts/(Japan)Alchemy of Souls--Episode 14.txt"")"
